action,att,att_img,action_description,icon_action,img_action,action_type,img_action_type,action_type1,action_type2,action_type3,counter,has_bonus,opp_has_bonus,action_condition,action_formula_lit,action_formula_array,action_energy,resultminus3,resultminus2,resultminus1,result3,result1,result2,result3,action_group_possib,action_detail
ATACAR,INS,🔥,"Agressão física direta ou com feitiços ou armas, no calor do momento.",,,Ação,,⚔,,,DEF,,,Esta modalidade de combate foca em causar DANO.,INS + Proficiência com Feitiço ou Arma + Bônus +  1d3Fixo,,2⚡,"Você se machuca, recebendo 2 de dano, e gastando 2 Energia.","Você se machuca, recebendo 1 de dano e gastando 1 Energia.","Você não consegue atingir o alvo, e perde 1 Energia.","Você não consegue penetrar as defesas do adversário, mas uma versão fraca do Efeito do seu ataque ocorre, mas sem tirar dano.",1x o dano do feitiço ou golpe no adversário.,"1x o dano no adversário, mais o Efeito do seu ataque.",2x de dano no adversário mais Efeito.,🤝,
BLOQUEAR / CONTRA-ATACAR,INS,🔥,"Mitigar o ataque do adversário, com chance de devolver o DANO parcialmente ou integralmente. ",,,Ação,,⚔,🛡,⭯,DEF,"Alerta, Ágil",Focado,Esta modalidade de combate foca em evitar DANO e ter a chance de refletir ou revidar.,INS + Proficiência com Feitiço ou Arma / Valor de DEF + Bônus +  1d3Fixo,,2⚡,"Na sua tentativa de contratacar, você se expõe, e errando o contragolpe, acaba se machucando mais do que teria se só tivesse resistido ou se defendido.","Você perde o timing e acaba levando o golpe antes que possa se defender, e gasta 1 Energia.",Você consegue bloquear apenas metade do efeito/dano do golpe.,"Você bloqueia o dano, porém sem causar nada no adversário.","Sua defesa dissipa 50% do dano e efeito do adversário, e gastando mais 1 Energia você manda de volta para ele os 50% restantes. Por 2 Energia, você pode escolher algum outro golpe para mandar no lugar, com chance de defesa do adversário.",Bloqueia 100% do ataque e efeito do seu adversário.,"Com timing perfeito, neutraliza a investida do seu adversário e contrataca sem que ele possa se defender, refletindo o dano e o efeito originais imediatamente.",🤝,
INTERROMPER,INS,🔥,Realizar um ataque defensivo a impedir o proveniente do seu adversário.,,,Ação,,⚔,⭯,,DEF,"Alerta, Ágil","Alerta, Ágil","Precisa estar preparado, desconfiado, ou já engajado em combate. Com sucesso de +2 ou mais, seu golpe foi anterior ao do adversário que já atacou.",INS + Bônus +  1d3Fixo (sem adicionar Proficiência),,4⚡,"Erra a execução do golpe, e produz algo inesperado, sofrendo um efeito negativo e perdendo a próxima vez",Sofre o efeito e perde a próxima vez,"Perde a vez, errando o golpe ou feitiço","Consegue executar o golpe ou feitiço e seu adversário sofrerá o efeito, mas você também receberá o golpe do inimigo, tendo errado o timing.","Consegue atingir seu feitiço no adversário, porém depois dele já ter executado sua ação.",Realiza o efeito desejado do feitiço ou golpe.,"1x Dano mais efeito. Você ganha mais uma vez, agindo rápida e decisivamente.",❌,
RESISTIR IMPACTO,INS,🔥,Tolerância à dor e resistência física. É a DEF quando nenhuma Ação de DEF pode ser realizada.,,,Rolagem Passiva,,🛡,,,ATK,Tiver Armadura ou Escudo,,,"PASS: POR + Armadura + Bônus + 1d3Fixo
ATV: POR + 1d(INS) + Bônus + 1d3Fixo",,,Perde 4 pontos de vida e desmaia de dor.,Perde 3 pontos de vida e fica com -1d3 para qualquer ação seguinte.,Perde 2 pontos de vida e fica atordoado por um round inteiro.,"Perde 1 ponto de vida e fica levemente atordoado, perdendo sua vez, mas podendo agir após o seguinte à sua vez.","Não perde nenhum ponto de vida, mas gasta 1 Energia e fica levemente Atordoado.",Não perde nenhum ponto de vida.,"Não perde nenhum ponto de vida, e milagrosamente o impacto que recebe lhe dá mais forças ainda (+1d3) para contratacar.",❌,
ARREMESSAR,INS,🔥,"Lançar objetos, projéteis e armas.",,,Ação,,⚔,,,DEF,Focado,Alvo estiver em movimento,A dificuldade do teste é de acordo com o Porte e distância do item.,,, 1⚡,"Erra o alvo e acaba se machucando no processo, perdendo 2 PdV.",Erra o alvo e fica impossibilitado de tentar de novo.,Não consegue alcançar o alvo por 1 triz. Pode tentar de novo na próxima vez.,"Seu projétil chega no alvo, mas com pouca força, dando ao alvo +1d3 para se defender. Se a defesa do adversário for um contra-ataque, ver resultado da ação CONTRA-ATAQUE.","Faz o item alcançar seu alvo, porém numa segunda tentativa e/ou usando o dobro da Energia.","Lança o item na direção que deseja, fazendo-o alcançar seu alvo.","Lança o objeto no alvo, a causa 2x o dano, ou tem uma surpresa positiva.",❌,
CARREGAR / FORÇA,INS,🔥,Levantar ou mover objetos pesados.,,,Ação,,,,,Narração ,,Peso,A dificuldade do teste é de acordo com o Porte do item.,,,2⚡,"Se machuca seriamente. Perde HP, fica com status de Sangrando perde 2 Energia.",Se machuca não muito seriamente. Perde um pouco de HP e 1 Energia.,"Não consegue empurrar ou levantar o que está tentando. Ainda assim, gasta 1 Energia.","Percebe que está prestes a conseguir, mas com algum estímulo, ajuda ou mecanismo externo pode conseguir a força que falta.","Carrega com algum esforço, gastando 1 Energia.",Carrega com pouco esforço.,Carrega com facilidade.,🤝,
ESCALAR,INS,🔥,Subir superfícies íngremes ou paredes.,,,Ação,,,,,Narração ,,,A dificuldade do teste é de acordo com o desafio do terreno ou obstáculo.,,,2⚡,"Sofre uma queda grave ou acidente, resultando em ferimentos graves.","Antes de conseguir alcançar a região necessária, sofre uma queda não muito séria e ferimentos leves.","Não consegue encontrar um ponto de apoio adequado, tornando a escalada impossível.","A escalada é bem-sucedida, mas leva mais tempo do que o esperado.","Enfrenta dificuldades, mas consegue recuperar o equilíbrio e continuar a escalada, ao gastar 2 Energia.","O jogador completa a escalada com sucesso, atingindo o objetivo planejado gastando apenas 1 Energia.","Você escala com maestria, sem gastar energia em excesso, e pode encontrar algo valioso no caminho.",❌,
INICIATIVA / ALCANÇAR,INS,🔥,"Iniciativa: Determina a rapidez na tomada de ações em combate. Para disputar a ordem da vez de cada personagem na rodada, ou tentar interromper a sequência.

Alcançar: Habilidade de correr até objetos ou criaturas distantes ou agarrar algo em movimento.",,,"Ação, Ação Bônus",,⏫,⭯,,Iniciativa / Alcançar,Alerta,Alerta,"A qualquer momento, gaste 2 Energia  para cortar a vez nos turnos. Com sucesso de +1 ou mais em Iniciativa, você corta a ação na frente do personagem da vez.",,,4⚡*,"Iniciativa: Se precipita e perde o timing, o fazendo cair, tropeçar assim se machucar e perder a próxima vez.
Alcançar: Além de gastar muita energia (2) e fracassar em alcançar o alvo, você cai e se machuca, ou derruba e quebra algo importante.","Iniciativa:  Se precipita e perde o timing, perdendo a sua próxima vez.
Alcançar:  Não consegue alcançar o alvo e gasta mais 1 Energia.","Iniciativa:  Seu adversário ganha a vez ou você não consegue interromper a sequência de ações.
Alcançar:  Está bem próximo de alcançar o alvo, porém sem conseguir alcançá-lo.","Iniciativa:  Consegue cortar a vez seguinte, não esta de agora.
Alcançar:  Está pau a pau com o alvo, sem que nenhum dos dois consigam se tocar.","Iniciativa:  Consegue cortar a vez e realizar sua nova ação, gastando 1 Energia.
Alcançar:  Alcança o alvo por trás numa distância suficiente para engajar com ele.","Iniciativa:  Consegue cortar a vez e realizar sua nova ação.
Alcançar:  Ultrapassa o alvo, podendo engajar com ele pela frente.","Iniciativa:  Consegue cortar a vez e terá +1d3 para realizar a próxima ação.
Alcançar:  Ultrapassa o alvo, podendo engajar com ele pela frente, e faz o adversário gastar 2 energias.",❌,
INTIMIDAR,INS,🔥,"Ameaçar ou assustar, fazendo alvo ceder (ser convencido) ou fugir.",,,Ação Bônus,,💬,⏫,,Desafiar,Porte ou hierarquia superior,Porte ou hierarquia superior,,Bônus em Persuasão ou ,,1⚡,"Alvo desmoraliza você, que acaba ficando intimidado no lugar dele, e deverá acatar o que ele quer. Ele fica hostil e ofendido.","Seu alvo não compra sua investida, e se torna hostil e pronto para atacar ou punir.","Seu alvo fica hesitante, mas finalmente decide não aceitar. Ele permanece na sua instância sem atacar nem recuar.","Seu alvo está à beira de recuar, mas ainda precisa de alguma influência externa.","Alvo fica parcialmente intimidado, e aceita fazer o que você quer se for algo razoável, embora contrariado e somente na sua frente.","Alvo fica impressionado e amedrontado por você, e aceitará o que você propõe, mas afrontado.","Alvo fica impressionado por você e lhe respeita, fazendo o que você deseja sem mais estar contrariado.",⚖️,
DESAFIAR,INS,🔥,Resistência mental contra ameaças ou provocações.,,,Rolagem Passiva,,🔒,,,Intimidar,Estresse,seu personagem tiver Medo,,,,1⚡,"Seu personagem foge, ou é obrigado a acatar o que a Intimidação do inimigo demanda.","Seu personagem, além de ceder totalmente à Intimidação, fica se sentido desmoralizado e com medo. Status: Medo ou Estresse.","Seu personagem resiste mas fica intimidado pelo adversário; você deverá, na frente da pessoa pelo menos, fazer o que ela demanda, e só agir contrário a ela quando seu personagem não souber que ela está por perto. ","A determinação do jogador impressiona o intimidador minimamente, fazendo com que reconsiderem sua abordagem.","Você resiste à intimidação até certo ponto; faz o que lhe é demandado, mas também não é dissuadido de fazer o que você gostaria em seguida.",Você resiste e não precisa acatar as demandas de quem lhe está intimidando.,"Seu personagem não teme a intimidação, e ganha +1d3 para sua próxima ação contra este inimigo.",⚖️,
